,file_name,detections_per_second,Non Uniformed,Uniformed,Riot Shield,Gun,Pepper Spray,Baton,Chemical Smoke
0,008.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 2}, '0:00:03': {'Non Uniformed': 1}, '0:00:04': {'Non Uniformed': 1}, '0:00:05': {'Non Uniformed': 1}, '0:00:06': {'Non Uniformed': 2}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 2}, '0:00:09': {'Non Uniformed': 2}, '0:00:10': {'Non Uniformed': 3}, '0:00:11': {'Uniformed': 1, 'Non Uniformed': 3}, '0:00:12': {'Uniformed': 1, 'Non Uniformed': 3}, '0:00:13': {'Uniformed': 1, 'Non Uniformed': 2}, '0:00:14': {'Uniformed': 1, 'Non Uniformed': 3}, '0:00:15': {'Uniformed': 1, 'Non Uniformed': 3}, '0:00:16': {'Uniformed': 1, 'Non Uniformed': 3}, '0:00:17': {'Non Uniformed': 3}, '0:00:18': {'Non Uniformed': 2, 'Riot Shield': 1}}",40.0,6.0,1.0,0.0,0.0,0.0,0.0
1,009.mp4,"{'0:00:01': {'Non Uniformed': 3}, '0:00:02': {'Non Uniformed': 3}, '0:00:03': {'Non Uniformed': 3}, '0:00:04': {'Non Uniformed': 3}, '0:00:05': {'Non Uniformed': 3}, '0:00:06': {'Non Uniformed': 4}, '0:00:07': {'Non Uniformed': 2, 'Gun': 1}, '0:00:08': {'Non Uniformed': 3, 'Gun': 1}, '0:00:09': {'Non Uniformed': 1, 'Riot Shield': 1, 'Gun': 1}, '0:00:10': {'Non Uniformed': 2, 'Riot Shield': 1, 'Gun': 1}, '0:00:11': {'Non Uniformed': 2, 'Gun': 1}, '0:00:12': {'Non Uniformed': 3, 'Gun': 1}, '0:00:13': {'Non Uniformed': 2, 'Riot Shield': 1, 'Gun': 1}, '0:00:14': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:15': {'Non Uniformed': 1}, '0:00:16': {'Non Uniformed': 2, 'Riot Shield': 2}, '0:00:17': {'Non Uniformed': 2, 'Riot Shield': 1, 'Gun': 1}, '0:00:18': {'Non Uniformed': 2, 'Gun': 1}, '0:00:19': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:20': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:21': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:22': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:23': {'Non Uniformed': 1, 'Riot Shield': 1}, '0:00:24': {'Non Uniformed': 2, 'Riot Shield': 1}, '0:00:25': {'Non Uniformed': 1}, '0:00:26': {'Non Uniformed': 1}, '0:00:27': {'Non Uniformed': 2}, '0:00:28': {'Non Uniformed': 2}, '0:00:29': {'Non Uniformed': 2}, '0:00:30': {'Non Uniformed': 2}, '0:00:31': {'Non Uniformed': 2}, '0:00:32': {'Non Uniformed': 2}, '0:00:33': {'Non Uniformed': 2}, '0:00:34': {'Non Uniformed': 2}, '0:00:35': {'Non Uniformed': 3}, '0:00:36': {'Non Uniformed': 4}, '0:00:37': {'Non Uniformed': 4}, '0:00:38': {'Non Uniformed': 2}, '0:00:39': {'Non Uniformed': 5}, '0:00:40': {'Non Uniformed': 4}, '0:00:41': {'Non Uniformed': 5, 'Gun': 1}, '0:00:42': {'Non Uniformed': 5}, '0:00:43': {'Non Uniformed': 5}, '0:00:44': {'Non Uniformed': 5}, '0:00:45': {'Non Uniformed': 4}, '0:00:46': {'Non Uniformed': 5}, '0:00:47': {'Non Uniformed': 4}, '0:00:48': {'Non Uniformed': 5}, '0:00:49': {'Non Uniformed': 5}, '0:00:50': {'Non Uniformed': 6}, '0:00:51': {'Non Uniformed': 3}, '0:00:52': {'Non Uniformed': 3}, '0:00:53': {'Non Uniformed': 4}, '0:00:54': {'Non Uniformed': 2}}",150.0,0.0,13.0,10.0,0.0,0.0,0.0
2,1_4934073479210205678.mp4,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-11-14_01.13.50.mp4,"{'0:00:01': {'Non Uniformed': 1}, '0:00:02': {'Non Uniformed': 2}, '0:00:03': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:04': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:05': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:06': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:07': {'Non Uniformed': 1}, '0:00:08': {'Non Uniformed': 1}, '0:00:09': {'Non Uniformed': 1}, '0:00:10': {'Non Uniformed': 1}, '0:00:11': {'Non Uniformed': 1}, '0:00:12': {'Non Uniformed': 1}, '0:00:13': {'Non Uniformed': 1}, '0:00:14': {'Non Uniformed': 1}, '0:00:15': {'Non Uniformed': 1}, '0:00:16': {'Non Uniformed': 1}, '0:00:17': {'Non Uniformed': 1}, '0:00:18': {'Non Uniformed': 1}, '0:00:19': {'Non Uniformed': 1}, '0:00:20': {'Non Uniformed': 1}, '0:00:21': {'Non Uniformed': 1}, '0:00:22': {'Non Uniformed': 1}, '0:00:23': {'Non Uniformed': 1}, '0:00:24': {'Non Uniformed': 1}, '0:00:25': {'Non Uniformed': 1}, '0:00:26': {'Non Uniformed': 1}, '0:00:27': {'Non Uniformed': 1}, '0:00:28': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:29': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:30': {'Non Uniformed': 1}, '0:00:31': {'Non Uniformed': 1}, '0:00:32': {'Non Uniformed': 1}, '0:00:33': {'Non Uniformed': 1}, '0:00:34': {'Non Uniformed': 1}, '0:00:35': {'Non Uniformed': 2}, '0:00:36': {'Non Uniformed': 1}, '0:00:37': {'Non Uniformed': 1}, '0:00:38': {'Non Uniformed': 1}, '0:00:39': {'Non Uniformed': 1}, '0:00:40': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:41': {'Non Uniformed': 1, 'Pepper Spray': 2}, '0:00:42': {'Non Uniformed': 1, 'Pepper Spray': 2}, '0:00:43': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:44': {'Non Uniformed': 1, 'Pepper Spray': 1}, '0:00:45': {'Non Uniformed': 1}}",47.0,0.0,0.0,0.0,13.0,0.0,0.0
4,2021-11-20_11.20.14.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 2}, '0:00:03': {'Non Uniformed': 2}, '0:00:04': {'Non Uniformed': 2}, '0:00:05': {'Non Uniformed': 2}, '0:00:06': {'Non Uniformed': 2}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 2}, '0:00:09': {'Non Uniformed': 2}, '0:00:10': {'Non Uniformed': 2}}",20.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-11-20_11.20.38.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 2}, '0:00:03': {'Non Uniformed': 1}, '0:00:04': {'Non Uniformed': 1}, '0:00:05': {'Non Uniformed': 1}, '0:00:06': {'Non Uniformed': 2}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 2, 'Riot Shield': 1}, '0:00:09': {'Non Uniformed': 2}, '0:00:10': {'Non Uniformed': 1}, '0:00:11': {'Non Uniformed': 1}, '0:00:12': {'Non Uniformed': 1}, '0:00:13': {'Non Uniformed': 2}, '0:00:14': {'Non Uniformed': 2}, '0:00:15': {'Non Uniformed': 2, 'Riot Shield': 1}, '0:00:16': {'Non Uniformed': 2, 'Riot Shield': 1}, '0:00:17': {'Non Uniformed': 2}, '0:00:18': {'Non Uniformed': 1}, '0:00:19': {'Non Uniformed': 3}, '0:00:20': {'Non Uniformed': 2}, '0:00:21': {'Non Uniformed': 3}, '0:00:22': {'Non Uniformed': 2}, '0:00:23': {'Non Uniformed': 2}, '0:00:25': {'Non Uniformed': 2}, '0:00:26': {'Non Uniformed': 2}, '0:00:27': {'Non Uniformed': 2}, '0:00:28': {'Non Uniformed': 2}, '0:00:29': {'Non Uniformed': 2, 'Riot Shield': 1}, '0:00:30': {'Non Uniformed': 1}, '0:00:31': {'Non Uniformed': 1}, '0:00:32': {'Non Uniformed': 1}, '0:00:33': {'Non Uniformed': 2}, '0:00:34': {'Non Uniformed': 2}, '0:00:35': {'Non Uniformed': 2}, '0:00:36': {'Non Uniformed': 3}, '0:00:37': {'Non Uniformed': 1}}",64.0,0.0,4.0,0.0,0.0,0.0,0.0
6,2021-11-20_11.21.37.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 1}, '0:00:03': {'Non Uniformed': 2}, '0:00:04': {'Non Uniformed': 1}, '0:00:05': {'Non Uniformed': 1}, '0:00:06': {'Non Uniformed': 1}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 1}, '0:00:09': {'Non Uniformed': 2}, '0:00:10': {'Non Uniformed': 2}, '0:00:11': {'Non Uniformed': 2}, '0:00:12': {'Non Uniformed': 2, 'Riot Shield': 1}}",19.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2021-11-20_11.26.54.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 3, 'Gun': 1}, '0:00:03': {'Non Uniformed': 2, 'Gun': 1}, '0:00:04': {'Non Uniformed': 3, 'Gun': 1}, '0:00:05': {'Non Uniformed': 2, 'Gun': 1}, '0:00:06': {'Non Uniformed': 1, 'Gun': 1}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 2}, '0:00:09': {'Non Uniformed': 2}, '0:00:10': {'Non Uniformed': 2}, '0:00:11': {'Non Uniformed': 2}, '0:00:12': {'Non Uniformed': 1}}",24.0,0.0,0.0,5.0,0.0,0.0,0.0
8,2021-11-20_11.27.48.mp4,"{'0:00:01': {'Non Uniformed': 3}, '0:00:02': {'Non Uniformed': 3}, '0:00:03': {'Non Uniformed': 3}, '0:00:04': {'Non Uniformed': 2}, '0:00:05': {'Non Uniformed': 3}, '0:00:06': {'Non Uniformed': 3}, '0:00:07': {'Non Uniformed': 2}, '0:00:08': {'Non Uniformed': 3}, '0:00:09': {'Uniformed': 1, 'Non Uniformed': 5}, '0:00:10': {'Non Uniformed': 5}, '0:00:11': {'Non Uniformed': 3}}",35.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-20_11.28.11.mp4,"{'0:00:01': {'Non Uniformed': 2}, '0:00:02': {'Non Uniformed': 2, 'Gun': 1}, '0:00:03': {'Non Uniformed': 1, 'Gun': 1}, '0:00:04': {'Non Uniformed': 1}, '0:00:05': {'Non Uniformed': 2}, '0:00:06': {'Uniformed': 1, 'Non Uniformed': 1}}",9.0,1.0,0.0,2.0,0.0,0.0,0.0
