"id","label","time_start","time_end","clarity_level","youtube_id","url_id","user_id"
"4pRPc04xoEo1","crowd","0","12","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo2","spray","12","18","hard","4pRPc04xoEo","186","1"
"4pRPc04xoEo3","running","12","21","hard","4pRPc04xoEo","186","1"
"4pRPc04xoEo4","crowd","34","44","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo5","crowd","66","71","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo6","spray","87","93","bad","4pRPc04xoEo","186","1"
"4pRPc04xoEo7","crowd","95","107","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo8","crowd","135","153","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo9","crowd","167","173","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo10","crowd","179","192","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo11","crowd","210","226","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo12","crowd","252","266","none","4pRPc04xoEo","186","1"
"4pRPc04xoEo13","crowd","312","318","none","4pRPc04xoEo","186","1"
"NSat-nRefXY1","crowd","10","12","none","NSat-nRefXY","49","1"
"NSat-nRefXY2","advancing","12","17","none","NSat-nRefXY","49","1"
"NSat-nRefXY3","crowd","20","31","none","NSat-nRefXY","49","1"
"NSat-nRefXY4","striking","45","47","hard","NSat-nRefXY","49","1"
"NSat-nRefXY5","striking","80","82","bad","NSat-nRefXY","49","1"
"NSat-nRefXY6","person_on_ground","201","204","medium","NSat-nRefXY","49","1"
"NSat-nRefXY7","restraining","206","221","medium","NSat-nRefXY","49","1"
"NSat-nRefXY8","person_on_ground","222","227","hard","NSat-nRefXY","49","1"
"NSat-nRefXY9","restraining","222","228","bad","NSat-nRefXY","49","1"
"NSat-nRefXY10","person_on_ground","230","236","bad","NSat-nRefXY","49","1"
"NSat-nRefXY11","restraining","228","236","hard","NSat-nRefXY","49","1"
"NSat-nRefXY12","restraining","255","257","medium","NSat-nRefXY","49","1"
"NSat-nRefXY13","restraining","262","265","bad","NSat-nRefXY","49","1"
"8RGiUQwb5H81","running","8","10","bad","8RGiUQwb5H8","715","1"
"8RGiUQwb5H82","crowd","53","56","none","8RGiUQwb5H8","715","1"
"Cz6PSqbr2pE1","crowd","0","6","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE2","crowd","7","11","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE3","crowd","12","17","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE4","crowd","18","24","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE5","crowd","26","31","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE6","crowd","38","51","none","Cz6PSqbr2pE","932","1"
"Cz6PSqbr2pE7","crowd","60","65","none","Cz6PSqbr2pE","932","1"
"LJZSQXpw8ig1","running","2","5","easy","LJZSQXpw8ig","744","1"
"LJZSQXpw8ig2","running","45","50","medium","LJZSQXpw8ig","744","1"
"LJZSQXpw8ig3","running","62","66","bad","LJZSQXpw8ig","744","1"
